Id,Brand,Model,Price,Selling_platform,Rating,Refresh_rate,Screen_size,Ram,Storage,Processor,Camera_setup,imgURL
473,Google,V Series Pro 10,1141.69,AliExpress,4.5,60,5.4,6,512,Tensor G2,108MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/n/m/-original-imagna3rjqn8vqxb.jpeg?q=70
474,Realme,Moto G Lite 15,217.64,Best Buy,3.6,120,5.5,12,128,Dimensity 920,64MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/r/a/-original-imagna3qqyay2gaf.jpeg?q=70
475,Xiaomi,V Series SE 12,1238.29,Walmart,4.6,90,5.1,16,64,Dimensity 1080,50MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/c/u/-original-imagnanh2yvpc4zx.jpeg?q=70
476,Google,Nord Lite 15,1099.54,Flipkart,3.9,165,5.9,16,64,Tensor G1,200MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
477,Oppo,Narzo Ultra 11,1959.39,AliExpress,4.0,90,6.8,12,1024,Helio G99,12MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/m/3/11-prime-mzb0ceoin-redmi-original-imagzqvrz4mvf6tx.jpeg?q=70
478,OnePlus,Xperia Ultra 14,701.99,Flipkart,3.3,165,7.0,16,1024,Dimensity 9000,12MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
479,Sony,P Series Turbo 20,550.91,Flipkart,3.7,60,5.3,16,256,Helio G99,64MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/h/f/g13-pawv0028in-motorola-original-imagz4rbawxkbyjg.jpeg?q=70
480,Realme,P Series Plus 24,1795.41,Best Buy,3.0,60,6.5,8,1024,Dimensity 920,48MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/3/4/-original-imagz3cuyhmc45pc.jpeg?q=70
481,Xiaomi,V Series Mini 20,1408.0,Best Buy,3.7,144,7.0,12,256,Snapdragon 7 Gen 1,48MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
482,Google,iPhone 5G 23,1152.15,AliExpress,4.4,60,6.6,6,512,Tensor G1,64MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
483,Apple,Redmi Note Mini 25,644.62,Amazon,4.6,144,7.1,6,1024,A16 Bionic,50MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
484,Motorola,Narzo Pro 14,607.24,Best Buy,4.2,165,6.3,16,64,Helio G99,50MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
485,Vivo,Narzo Mini 17,1646.37,Walmart,3.5,90,6.8,16,64,Dimensity 920,50MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
486,Samsung,iPhone SE 22,1646.6,AliExpress,3.0,120,5.4,8,128,Exynos 2200,64MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
487,Apple,Nord Plus 25,1614.63,Best Buy,3.4,144,6.4,6,512,A16 Bionic,108MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/o/v/-original-imagp27avqpgejaf.jpeg?q=70
488,Oppo,Mate Ultra 16,679.77,Flipkart,3.6,144,6.0,16,1024,Dimensity 920,200MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/h/z/11-prime-mzb0cerin-redmi-original-imagzqvrgdz98jch.jpeg?q=70
489,OnePlus,Pixel SE 17,1028.43,Official Store,4.8,60,5.8,4,128,Snapdragon 8+ Gen 1,108MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
490,Motorola,Nord Turbo 21,263.73,Official Store,4.6,120,5.5,4,64,Helio G99,64MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
491,OnePlus,Narzo Ultra 18,1455.6,Walmart,4.9,120,5.2,16,64,Snapdragon 8+ Gen 1,50MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
492,Samsung,iPhone Turbo 11,347.52,Flipkart,4.7,165,6.4,16,256,Exynos 2200,50MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
493,Motorola,Redmi Note Turbo 19,1233.87,Flipkart,4.0,120,7.0,6,64,Dimensity 920,48MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
494,Huawei,Reno Lite 11,1586.71,Walmart,4.6,60,5.6,6,64,Helio G99,48MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
495,Motorola,Mate Plus 16,1614.06,Amazon,4.6,165,7.4,16,1024,Helio G99,108MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
496,Realme,Pixel Max 20,1399.56,AliExpress,3.7,60,5.2,8,64,Helio G99,200MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/o/z/-original-imagmmmhjsjru7c2.jpeg?q=70
497,Vivo,Pixel Pro 25,1709.87,eBay,3.9,120,5.6,8,128,Helio G99,108MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/n/m/-original-imagna3rjqn8vqxb.jpeg?q=70
498,Xiaomi,Nord Pro 12,745.4,Flipkart,3.8,144,6.0,6,256,Snapdragon 7 Gen 1,108MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/r/a/-original-imagna3qqyay2gaf.jpeg?q=70
499,Apple,Redmi Note Edge 22,1757.81,AliExpress,4.5,60,5.4,8,256,A16 Bionic,50MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/c/u/-original-imagnanh2yvpc4zx.jpeg?q=70
500,Realme,Galaxy S Turbo 15,1307.69,Amazon,4.6,90,7.1,16,64,Dimensity 920,64MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/v/0/c51-mzb0dxkin-poco-original-imagzdpycgrcdc8z.jpeg?q=70
501,Samsung,Moto G Plus 14,1627.5,Flipkart,4.9,120,5.9,6,256,Snapdragon 8 Gen 2,108MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/m/3/11-prime-mzb0ceoin-redmi-original-imagzqvrz4mvf6tx.jpeg?q=70
502,Huawei,Redmi Note SE 17,836.2,Reliance Digital,4.9,120,6.8,16,512,Dimensity 920,200MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
503,Nokia,V Series Pro 20,1067.38,eBay,4.3,165,6.3,8,128,Helio G99,200MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
504,Google,Nord Ultra 14,371.08,Official Store,4.3,165,6.5,8,512,Tensor G1,48MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/h/f/g13-pawv0028in-motorola-original-imagz4rbawxkbyjg.jpeg?q=70
505,Apple,iPhone SE 11,354.89,Amazon,3.5,144,5.1,16,128,A16 Bionic,48MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
506,Xiaomi,Redmi Note Lite 21,1802.47,eBay,3.4,90,6.7,8,512,Dimensity 1080,50MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
507,Samsung,P Series Edge 15,238.34,Flipkart,4.5,165,7.0,16,1024,Snapdragon 8 Gen 2,12MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
508,Nokia,Galaxy S Lite 12,1109.04,Amazon,3.8,144,5.0,12,512,Dimensity 920,50MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
509,Oppo,P Series 5G 13,151.96,Official Store,3.0,90,5.5,8,512,Helio G99,200MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
510,Xiaomi,Galaxy S 5G 19,1229.73,Amazon,4.8,144,5.5,12,1024,Dimensity 1080,48MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
511,Google,iPhone 5G 11,1000.88,Reliance Digital,3.5,144,6.1,4,512,Tensor G1,64MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/o/v/-original-imagp27avqpgejaf.jpeg?q=70
512,Google,V Series Plus 23,629.24,Official Store,5.0,165,5.2,6,128,Tensor G1,64MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/h/z/11-prime-mzb0cerin-redmi-original-imagzqvrgdz98jch.jpeg?q=70
513,Oppo,Narzo SE 24,1169.31,Reliance Digital,4.9,165,5.9,8,128,Helio G99,108MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
514,Realme,Pixel Ultra 18,1119.47,Official Store,4.3,90,6.8,6,512,Dimensity 920,200MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
515,Apple,Redmi Note SE 19,1674.29,Best Buy,3.6,144,7.1,6,512,A16 Bionic,108MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
516,Sony,Moto G Turbo 17,1087.2,eBay,3.7,120,5.5,16,512,Helio G99,200MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
517,Nokia,Redmi Note Mini 25,1371.37,Best Buy,4.4,144,7.0,16,1024,Dimensity 920,48MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
518,Nokia,P Series Pro 12,493.12,Reliance Digital,3.8,165,6.8,16,256,Helio G99,200MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
519,Xiaomi,Narzo Pro 16,1357.0,AliExpress,5.0,144,7.1,16,128,Snapdragon 7 Gen 1,12MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
520,Google,V Series Turbo 10,1909.94,Reliance Digital,5.0,165,6.1,16,512,Tensor G1,48MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/o/z/-original-imagmmmhjsjru7c2.jpeg?q=70
521,Sony,Mate Edge 18,1257.18,Walmart,4.7,144,5.1,8,128,Dimensity 920,108MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/n/m/-original-imagna3rjqn8vqxb.jpeg?q=70
522,OnePlus,Moto G Lite 17,804.06,Amazon,4.8,144,6.8,16,512,Dimensity 9000,48MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/r/a/-original-imagna3qqyay2gaf.jpeg?q=70
523,Vivo,P Series Turbo 18,1203.55,AliExpress,3.6,144,6.4,6,1024,Helio G99,200MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/c/u/-original-imagnanh2yvpc4zx.jpeg?q=70
524,Sony,Nord Edge 21,1768.79,eBay,3.2,120,6.9,6,128,Dimensity 920,64MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/v/0/c51-mzb0dxkin-poco-original-imagzdpycgrcdc8z.jpeg?q=70
525,Oppo,P Series Edge 20,635.0,Walmart,4.1,120,7.2,6,128,Dimensity 920,48MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/m/3/11-prime-mzb0ceoin-redmi-original-imagzqvrz4mvf6tx.jpeg?q=70
526,Xiaomi,Galaxy S Turbo 11,1513.82,eBay,3.4,60,5.7,12,64,Snapdragon 7 Gen 1,200MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
527,Sony,Moto G Pro 23,1849.02,Flipkart,4.0,90,5.9,16,64,Dimensity 920,64MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
528,Sony,V Series SE 10,243.96,Best Buy,4.9,90,5.2,8,64,Dimensity 920,50MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/h/f/g13-pawv0028in-motorola-original-imagz4rbawxkbyjg.jpeg?q=70
529,Nokia,Galaxy S 5G 14,647.22,eBay,3.1,144,5.2,16,64,Dimensity 920,12MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
530,Vivo,Redmi Note Pro 25,234.56,Best Buy,4.6,165,7.3,6,64,Dimensity 920,48MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
531,Oppo,Mate Mini 14,464.29,AliExpress,3.9,120,5.9,16,128,Dimensity 920,48MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
532,Realme,P Series Ultra 11,491.84,eBay,4.9,60,5.6,8,256,Helio G99,12MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
533,Google,Nord Edge 22,481.72,Reliance Digital,3.5,90,6.9,8,512,Tensor G2,108MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
534,Xiaomi,Moto G Lite 22,290.59,eBay,3.5,144,7.2,8,64,Snapdragon 7 Gen 1,200MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
535,Huawei,Reno Edge 11,1733.22,Flipkart,3.8,60,6.4,8,256,Helio G99,64MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/o/v/-original-imagp27avqpgejaf.jpeg?q=70
536,Vivo,Moto G Pro 13,1146.99,Best Buy,4.5,90,6.9,12,512,Helio G99,108MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
537,Motorola,Redmi Note Mini 20,1580.31,Best Buy,4.7,165,6.1,6,64,Helio G99,48MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
538,Oppo,Redmi Note Turbo 10,1131.23,eBay,3.1,60,5.3,16,1024,Helio G99,50MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/h/z/11-prime-mzb0cerin-redmi-original-imagzqvrgdz98jch.jpeg?q=70
539,OnePlus,iPhone Max 12,1072.89,Amazon,4.1,90,5.7,8,512,Snapdragon 8+ Gen 1,108MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
540,Vivo,Reno SE 11,296.48,Reliance Digital,3.1,120,5.9,4,512,Helio G99,48MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
541,Nokia,iPhone SE 20,1748.75,AliExpress,3.1,165,5.7,12,64,Dimensity 920,48MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
542,Oppo,Nord SE 23,716.83,Walmart,3.8,120,6.6,8,1024,Helio G99,50MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
543,Nokia,Nord Turbo 15,503.31,Best Buy,3.2,120,6.7,12,64,Dimensity 920,200MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/v/0/c51-mzb0dxkin-poco-original-imagzdpycgrcdc8z.jpeg?q=70
544,Nokia,Redmi Note Edge 12,745.83,Best Buy,3.2,60,6.8,12,128,Dimensity 920,12MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/o/z/-original-imagmmmhjsjru7c2.jpeg?q=70
545,Xiaomi,Redmi Note SE 18,1175.08,eBay,3.6,120,5.7,4,128,Snapdragon 7 Gen 1,48MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/n/m/-original-imagna3rjqn8vqxb.jpeg?q=70
546,Oppo,iPhone Lite 25,365.43,Walmart,3.0,165,5.8,4,512,Dimensity 920,50MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/r/a/-original-imagna3qqyay2gaf.jpeg?q=70
547,Oppo,Reno Pro 21,892.17,Amazon,3.6,90,5.9,4,1024,Helio G99,108MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/c/u/-original-imagnanh2yvpc4zx.jpeg?q=70
548,Google,Mate Max 18,232.99,Amazon,4.1,165,5.4,4,512,Tensor G1,48MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
549,Xiaomi,Pixel 5G 12,1977.02,eBay,3.5,120,7.3,16,512,Snapdragon 7 Gen 1,48MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/m/3/11-prime-mzb0ceoin-redmi-original-imagzqvrz4mvf6tx.jpeg?q=70
550,Samsung,Pixel Pro 16,1681.35,Best Buy,3.8,60,5.8,4,128,Snapdragon 8 Gen 2,200MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
551,Vivo,P Series SE 19,559.13,Best Buy,3.1,144,7.4,6,1024,Helio G99,48MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/h/f/g13-pawv0028in-motorola-original-imagz4rbawxkbyjg.jpeg?q=70
552,OnePlus,Galaxy S Pro 10,1421.86,Reliance Digital,4.6,120,5.9,4,128,Snapdragon 8+ Gen 1,108MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/3/4/-original-imagz3cuyhmc45pc.jpeg?q=70
553,Vivo,Galaxy S SE 23,1077.67,Best Buy,3.9,120,5.2,4,256,Dimensity 920,108MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
554,Motorola,Redmi Note Edge 23,1555.13,AliExpress,3.3,60,6.5,4,64,Helio G99,12MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
555,Motorola,Galaxy S Ultra 16,379.61,Reliance Digital,4.2,165,6.5,12,64,Helio G99,12MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
556,Huawei,iPhone Turbo 21,1337.47,Flipkart,4.2,60,5.8,4,64,Helio G99,200MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
557,Sony,Xperia Mini 22,1970.26,Flipkart,4.3,120,6.1,12,1024,Dimensity 920,48MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
558,Google,Reno Turbo 17,920.67,Amazon,3.3,60,6.2,6,64,Tensor G1,48MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
559,Xiaomi,Mate Edge 25,1797.42,Official Store,3.2,120,6.9,12,512,Snapdragon 7 Gen 1,200MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/o/v/-original-imagp27avqpgejaf.jpeg?q=70
560,Xiaomi,Mate Lite 18,704.93,Flipkart,3.6,120,5.8,16,256,Snapdragon 7 Gen 1,64MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/h/z/11-prime-mzb0cerin-redmi-original-imagzqvrgdz98jch.jpeg?q=70
561,Motorola,Xperia Edge 15,381.5,Flipkart,3.7,60,5.8,8,64,Helio G99,200MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
562,Samsung,Narzo Mini 16,1384.21,Flipkart,4.6,165,5.5,6,512,Snapdragon 8 Gen 2,64MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
563,Apple,Reno Turbo 24,1508.64,Walmart,3.9,60,5.2,8,512,A16 Bionic,64MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
564,Google,Narzo 5G 13,215.72,Official Store,3.6,144,5.0,12,64,Tensor G1,200MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
565,Vivo,iPhone Max 13,1590.19,Reliance Digital,4.1,120,6.2,12,512,Helio G99,200MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
566,Oppo,Redmi Note SE 22,1472.9,eBay,4.4,60,7.3,4,1024,Dimensity 920,64MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
567,Nokia,Mate Plus 10,1057.01,Flipkart,3.7,90,5.0,12,64,Dimensity 920,12MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
568,Realme,Nord SE 16,458.55,Official Store,3.6,144,6.4,8,512,Helio G99,48MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/o/z/-original-imagmmmhjsjru7c2.jpeg?q=70
569,Xiaomi,Nord Ultra 19,405.08,Official Store,4.6,90,6.4,6,64,Dimensity 1080,64MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/n/m/-original-imagna3rjqn8vqxb.jpeg?q=70
570,Apple,Redmi Note SE 17,267.05,Flipkart,4.3,90,5.2,12,512,A16 Bionic,48MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/r/a/-original-imagna3qqyay2gaf.jpeg?q=70
571,OnePlus,Xperia Turbo 10,1535.82,eBay,4.4,60,6.6,16,64,Snapdragon 8+ Gen 1,200MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/c/u/-original-imagnanh2yvpc4zx.jpeg?q=70
572,Realme,Nord Max 20,960.77,AliExpress,4.9,90,7.1,16,64,Helio G99,12MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/v/0/c51-mzb0dxkin-poco-original-imagzdpycgrcdc8z.jpeg?q=70
573,Sony,Galaxy S Edge 21,1817.73,Best Buy,5.0,120,5.6,8,1024,Dimensity 920,48MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/m/3/11-prime-mzb0ceoin-redmi-original-imagzqvrz4mvf6tx.jpeg?q=70
574,Google,Xperia Edge 13,1108.39,Flipkart,3.2,60,7.1,4,1024,Tensor G1,64MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
575,Samsung,P Series Lite 19,1300.07,Flipkart,3.0,144,5.5,4,256,Exynos 2200,48MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
576,Samsung,Mate Mini 24,1709.1,Official Store,3.5,90,7.0,12,64,Snapdragon 8 Gen 2,50MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/h/f/g13-pawv0028in-motorola-original-imagz4rbawxkbyjg.jpeg?q=70
577,Vivo,iPhone Ultra 21,508.12,AliExpress,4.8,90,7.0,8,64,Helio G99,50MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
578,Oppo,Xperia Max 12,1221.74,Best Buy,4.3,120,6.3,6,512,Dimensity 920,108MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
579,Xiaomi,Mate Mini 24,298.48,Walmart,4.9,165,6.5,16,256,Dimensity 1080,64MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
580,Google,Mate Pro 17,244.54,Reliance Digital,3.5,165,6.3,6,256,Tensor G2,64MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
